ID	adj.P.Val	P.Value	Gene.symbol	Gene.title
38749	1.38e-69	7.94e-74	TUBA1C	tubulin alpha 1c
29100	1.38e-69	1.01e-73		
6510	3.03e-69	3.85e-73	HNRNPA1L2	heterogeneous nuclear ribonucleoprotein A1-like 2
31992	3.03e-69	4.41e-73		
2415	6.22e-69	1.13e-72		
27647	7.16e-69	1.56e-72	RPL6	ribosomal protein L6
21270	1.33e-68	3.39e-72		
2758	2.23e-68	7.10e-72	RPS6P6	ribosomal protein S6 pseudogene
4712	2.23e-68	7.30e-72	SOD1	superoxide dismutase 1, soluble
32690	9.10e-68	3.31e-71	ATF4	activating transcription factor 4
39625	1.10e-67	4.42e-71	EIF3K	eukaryotic translation initiation factor 3 subunit K
25126	1.12e-67	5.31e-71		
40750	1.12e-67	5.32e-71	NDUFS5	NADH:ubiquinone oxidoreductase subunit S5
31828	2.59e-67	1.32e-70		
27814	3.22e-67	1.76e-70	ATP5H	ATP synthase, H+ transporting, mitochondrial Fo complex subunit D
29904	3.83e-67	2.23e-70	RPL11	ribosomal protein L11
43794	5.40e-67	3.34e-70		
2299	5.43e-67	3.56e-70	RPL35	ribosomal protein L35
28358	8.38e-67	5.80e-70	EEF1B2	eukaryotic translation elongation factor 1 beta 2
15902	1.06e-66	7.83e-70	PTMA	prothymosin, alpha
35021	1.06e-66	8.14e-70	ANXA2	annexin A2
14728	1.10e-66	8.80e-70		
18049	2.12e-66	1.78e-69		
13650	3.77e-66	3.48e-69	NME2	NME/NM23 nucleoside diphosphate kinase 2
20593	3.77e-66	3.54e-69	KXD1	KxDL motif containing 1
30702	3.77e-66	3.57e-69	RPL17	ribosomal protein L17
26505	5.19e-66	5.26e-69		
23934	5.19e-66	5.29e-69	XRCC6	X-ray repair cross complementing 6
6426	5.35e-66	5.65e-69		
12883	6.24e-66	6.82e-69	FRG1	FSHD region gene 1
29042	7.89e-66	8.91e-69	RPL13A	ribosomal protein L13a
16563	1.08e-65	1.25e-68	SOD1	superoxide dismutase 1, soluble
28602	1.08e-65	1.30e-68	PSMB1	proteasome subunit beta 1
12922	1.22e-65	1.51e-68	EIF1	eukaryotic translation initiation factor 1
21303	1.49e-65	1.90e-68	TARDBP	TAR DNA binding protein
28828	1.59e-65	2.09e-68	UROD	uroporphyrinogen decarboxylase
10383	1.59e-65	2.15e-68		
23009	1.62e-65	2.24e-68	COA4	cytochrome c oxidase assembly factor 4 homolog
27098	1.67e-65	2.38e-68	RPL21	ribosomal protein L21
18716	1.87e-65	2.72e-68	SNORA7A///RPL32	small nucleolar RNA, H/ACA box 7A///ribosomal protein L32
5118	1.96e-65	2.93e-68		
16452	2.03e-65	3.11e-68	ATP5L	ATP synthase, H+ transporting, mitochondrial Fo complex subunit G
13934	2.60e-65	4.11e-68	RPL35	ribosomal protein L35
21100	2.60e-65	4.27e-68	MRPL14	mitochondrial ribosomal protein L14
6381	2.60e-65	4.31e-68	COA3	cytochrome c oxidase assembly factor 3
13360	2.60e-65	4.35e-68	MRPS24	mitochondrial ribosomal protein S24
17668	3.13e-65	5.35e-68	RPL21	ribosomal protein L21
6141	3.15e-65	5.73e-68	RPL21	ribosomal protein L21
10840	3.15e-65	5.77e-68		
33436	3.15e-65	5.88e-68	RPL36A	ribosomal protein L36a
23636	3.15e-65	5.90e-68	SOD1	superoxide dismutase 1, soluble
703	3.15e-65	5.96e-68	OAZ1	ornithine decarboxylase antizyme 1
16117	3.21e-65	6.19e-68	RPS17	ribosomal protein S17
37500	3.23e-65	6.35e-68	UBC	ubiquitin C
27121	3.48e-65	6.97e-68	ATP5I	ATP synthase, H+ transporting, mitochondrial Fo complex subunit E
25062	3.77e-65	7.69e-68	RPL7A	ribosomal protein L7a
