ID	adj.P.Val	P.Value	Gene.symbol	Gene.title
38749	1.33e-69	7.89e-74	TUBA1C	tubulin alpha 1c
29100	1.33e-69	9.71e-74		
6510	2.95e-69	3.97e-73	HNRNPA1L2	heterogeneous nuclear ribonucleoprotein A1-like 2
31992	2.95e-69	4.29e-73		
2415	6.52e-69	1.19e-72		
27647	7.17e-69	1.57e-72	RPL6	ribosomal protein L6
21270	1.34e-68	3.42e-72		
2758	2.22e-68	7.00e-72	RPS6P6	ribosomal protein S6 pseudogene
4712	2.22e-68	7.29e-72	SOD1	superoxide dismutase 1, soluble
32690	1.00e-67	3.66e-71	ATF4	activating transcription factor 4
39625	1.00e-67	4.01e-71	EIF3K	eukaryotic translation initiation factor 3 subunit K
25126	1.21e-67	5.29e-71		
40750	1.21e-67	5.74e-71	NDUFS5	NADH:ubiquinone oxidoreductase subunit S5
31828	2.51e-67	1.28e-70		
27814	2.88e-67	1.58e-70	ATP5H	ATP synthase, H+ transporting, mitochondrial Fo complex subunit D
29904	3.86e-67	2.25e-70	RPL11	ribosomal protein L11
43794	4.84e-67	3.00e-70		
2299	5.26e-67	3.45e-70	RPL35	ribosomal protein L35
28358	8.32e-67	5.76e-70	EEF1B2	eukaryotic translation elongation factor 1 beta 2
35021	1.01e-66	7.61e-70	ANXA2	annexin A2
15902	1.01e-66	7.73e-70	PTMA	prothymosin, alpha
14728	1.10e-66	8.78e-70		
18049	2.14e-66	1.79e-69		
13650	3.63e-66	3.17e-69	NME2	NME/NM23 nucleoside diphosphate kinase 2
20593	3.92e-66	3.63e-69	KXD1	KxDL motif containing 1
30702	3.92e-66	3.72e-69	RPL17	ribosomal protein L17
23934	5.12e-66	5.03e-69	XRCC6	X-ray repair cross complementing 6
26505	5.40e-66	5.51e-69		
6426	5.52e-66	5.83e-69		
29042	7.85e-66	8.57e-69	RPL13A	ribosomal protein L13a
12883	7.97e-66	9.00e-69	FRG1	FSHD region gene 1
16563	1.05e-65	1.27e-68	SOD1	superoxide dismutase 1, soluble
28602	1.05e-65	1.27e-68	PSMB1	proteasome subunit beta 1
12922	1.27e-65	1.57e-68	EIF1	eukaryotic translation initiation factor 1
28828	1.41e-65	1.80e-68	UROD	uroporphyrinogen decarboxylase
