GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
146771	2.33e-39	1.06e-43	0.4167	-13.8633625	-5.7773675	218.26	TCAM1P	testicular cell adhesion molecule 1, pseudogene
84215	1.52e-31	1.38e-35	0.4132	-12.4511428	-5.1445264	414.2	ZNF541	zinc finger protein 541
10388	8.51e-28	1.16e-31	0.4109	-11.7081085	-4.8108608	631.9	SYCP2	synaptonemal complex protein 2
27127	3.01e-23	5.46e-27	0.3775	-10.757542	-4.060924	247.52	SMC1B	structural maintenance of chromosomes 1B
23217	8.09e-20	1.84e-23	0.4767	-9.9815577	-4.7578417	199.99	ZFR2	zinc finger RNA binding protein 2
3787	9.46e-17	2.58e-20	0.4585	-9.2353071	-4.2341619	692.58	KCNS1	potassium voltage-gated channel modifier subfamily S member 1
285498	1.47e-16	4.67e-20	0.371	-9.1714791	-3.4024787	482.58	RNF212	ring finger protein 212
8618	4.79e-14	1.74e-17	0.5419	8.5100037	4.6113463	74.31	CADPS	calcium dependent secretion activator
375196	1.32e-13	5.40e-17	0.4207	-8.3775488	-3.5241615	55.63	LOC375196	uncharacterized LOC375196
251	1.71e-13	7.74e-17	0.6469	8.3351826	5.3920341	36.03	ALPG	alkaline phosphatase, germ cell
222962	2.05e-13	1.02e-16	0.5645	8.3021797	4.6861774	381.77	SLC29A4	solute carrier family 29 member 4
440590	6.73e-13	4.27e-16	0.2939	-8.1305254	-2.3895024	114.04	ZYG11A	zyg-11 family member A, cell cycle regulator
107987248	6.73e-13	4.05e-16	0.6086	-8.1370672	-4.952343	25.75	LOC107987248	
79173	6.73e-13	3.80e-16	0.3288	-8.1447072	-2.6783279	409.99	BRME1	break repair meiotic recombinase recruitment factor 1
81626	1.37e-12	9.30e-16	0.8013	-8.0357027	-6.4393554	59.49	SHCBP1L	SHC binding and spindle associated 1 like
127550	3.33e-12	2.57e-15	0.3858	-7.910111	-3.0514305	27.98	A3GALT2	alpha 1,3-galactosyltransferase 2
254559	3.33e-12	2.47e-15	0.441	-7.9152228	-3.4902738	970.17	MIR9-3HG	MIR9-3 host gene
285084	1.36e-11	1.11e-14	0.6359	-7.7258733	-4.9127023	179.04	LINC01305	long intergenic non-protein coding RNA 1305
101927931	1.59e-11	1.37e-14	0.5177	7.6990606	3.9857542	30.37	LINC01480	long intergenic non-protein coding RNA 1480
11063	2.05e-11	1.86e-14	0.5555	-7.6596724	-4.2550632	69.66	SOX30	SRY-box transcription factor 30
728763	7.23e-11	6.89e-14	0.6368	7.4900002	4.769539	34.8	CROCC2	ciliary rootlet coiled-coil, rootletin family member 2
51087	1.16e-10	1.15e-13	0.4585	-7.4220696	-3.4027625	251.45	YBX2	Y-box binding protein 2
3780	1.32e-10	1.38e-13	0.5504	7.3986204	4.0721204	43.61	KCNN1	potassium calcium-activated channel subfamily N member 1
63950	2.27e-10	2.47e-13	0.6694	-7.3203513	-4.9003242	165.09	DMRTA2	DMRT like family A2
2905	8.53e-10	9.68e-13	0.4415	-7.1350439	-3.1500844	156.6	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C
491	2.02e-09	2.39e-12	0.6597	7.00986	4.6247425	41.36	ATP2B2	ATPase plasma membrane Ca2+ transporting 2
124602	2.05e-09	2.52e-12	0.4952	7.0024185	3.4672773	34.91	KIF19	kinesin family member 19
23705	2.29e-09	2.91e-12	0.4489	6.982045	3.1344614	455.57	CADM1	cell adhesion molecule 1
827	2.52e-09	3.32e-12	0.71	6.9636712	4.9443558	112.04	CAPN6	calpain 6
728215	3.92e-09	5.34e-12	0.5423	6.8962754	3.7401799	39	NALF1	NALCN channel auxiliary factor 1
8863	5.00e-09	7.04e-12	0.2719	-6.8569349	-1.8645038	1196.11	PER3	period circadian regulator 3
100996301	6.49e-09	9.42e-12	0.5508	-6.8150404	-3.7534188	46.25	FOXD3-AS1	FOXD3 antisense RNA 1
57471	1.22e-08	1.83e-11	0.5116	6.7191981	3.4373361	31.55	ERMN	ermin
730051	1.77e-08	2.73e-11	0.1656	6.6605196	1.1027825	250.67	ZNF814	zinc finger protein 814
