GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
10388	3.80e-23	1.96e-27	0.449	-10.851536	-4.8764114	356.27	SYCP2	synaptonemal complex protein 2
63950	1.11e-09	1.15e-13	0.802	-7.42261	-5.9533256	173.04	DMRTA2	DMRT like family A2
8900	9.65e-09	1.50e-12	1.08	7.074948	7.6434035	317.4	CCNA1	cyclin A1
4583	1.03e-07	2.13e-11	0.935	-6.697062	-6.262772	587.65	MUC2	mucin 2, oligomeric mucus/gel-forming
2172	5.76e-06	1.49e-09	0.744	6.045673	4.4951979	75.3	FABP6	fatty acid binding protein 6
64321	4.09e-05	1.27e-08	0.938	5.690436	5.3365523	1168.75	SOX17	SRY-box transcription factor 17
4241	6.58e-05	2.69e-08	0.377	-5.560782	-2.0946085	548.52	MELTF	melanotransferrin
54905	6.58e-05	2.89e-08	0.953	-5.54772	-5.2893314	388.3	CYP2W1	cytochrome P450 family 2 subfamily W member 1
57538	6.58e-05	3.40e-08	0.603	-5.519706	-3.327259	1393.52	ALPK3	alpha kinase 3
146771	6.58e-05	3.37e-08	0.72	-5.520896	-3.9732965	66.95	TCAM1P	testicular cell adhesion molecule 1, pseudogene
285084	1.66e-04	9.43e-08	0.956	-5.337473	-5.1014463	104.6	LINC01305	long intergenic non-protein coding RNA 1305
5284	2.52e-04	1.56e-07	1.07	5.244884	5.6109824	3425.58	PIGR	polymeric immunoglobulin receptor
10202	2.91e-04	1.95e-07	0.861	-5.20376	-4.4786766	213.36	DHRS2	dehydrogenase/reductase 2
9001	3.16e-04	2.28e-07	0.925	-5.174711	-4.7882388	901.96	HAP1	huntingtin associated protein 1
2166	3.18e-04	2.63e-07	0.369	5.148555	1.899389	304.02	FAAH	fatty acid amide hydrolase
7348	3.18e-04	2.50e-07	1.104	5.157445	5.6934184	179.81	UPK1B	uroplakin 1B
10181	3.32e-04	3.60e-07	0.165	5.088904	0.8393731	2303.43	RBM5	RNA binding motif protein 5
25803	3.32e-04	3.43e-07	0.928	5.097988	4.7319763	648.31	SPDEF	SAM pointed domain containing ETS transcription factor
93035	3.32e-04	3.27e-07	1.059	5.106919	5.4103368	467.99	PKHD1L1	PKHD1 like 1
11095	3.32e-04	3.16e-07	1.177	5.113788	6.0198398	411.11	ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8
3885	3.32e-04	3.34e-07	0.62	-5.102922	-3.16285	26.84	KRT34	keratin 34
7093	4.77e-04	5.42e-07	0.743	-5.010958	-3.7243409	102.04	TLL2	tolloid like 2
105372857	5.00e-04	5.94e-07	0.858	4.993192	4.2863556	223.8	LOC105372857	uncharacterized LOC105372857
57565	5.34e-04	6.62e-07	1.041	4.972272	5.1737098	211.02	KLHL14	kelch like family member 14
284116	6.19e-04	7.99e-07	0.737	-4.935545	-3.6381874	80.78	KRT42P	keratin 42, pseudogene
25845	6.38e-04	8.56e-07	0.41	-4.92215	-2.0163484	340.24	PP7080	uncharacterized LOC25845
100127888	7.20e-04	1.00e-06	0.481	-4.890864	-2.3521253	72.89	SLCO4A1-AS1	SLCO4A1 antisense RNA 1
55722	7.64e-04	1.10e-06	0.293	-4.872078	-1.4296059	734.12	CEP72	centrosomal protein 72
6550	1.30e-03	1.95e-06	0.506	-4.758194	-2.4089177	1205.76	SLC9A3	solute carrier family 9 member A3
126567	1.33e-03	2.14e-06	0.464	-4.739268	-2.1968459	48.24	C2CD4C	C2 calcium dependent domain containing 4C
100129543	1.33e-03	2.12e-06	0.707	4.741645	3.3510375	54.6	ZNF730	zinc finger protein 730
3960	1.33e-03	2.21e-06	0.899	-4.733623	-4.2558973	250.93	LGALS4	galectin 4
7546	1.34e-03	2.28e-06	0.841	-4.726832	-3.9746044	294.27	ZIC2	Zic family member 2
3706	1.59e-03	2.79e-06	0.622	-4.685697	-2.9157304	75.75	ITPKA	inositol-trisphosphate 3-kinase A
3483	1.59e-03	2.87e-06	0.81	-4.680191	-3.7893944	126.09	IGFALS	insulin like growth factor binding protein acid labile subunit
55124	1.75e-03	3.26e-06	0.862	-4.653865	-4.0098958	113.02	PIWIL2	piwi like RNA-mediated gene silencing 2
105374986	1.79e-03	3.43e-06	0.688	-4.643133	-3.1962491	32.93	LOC105374986	uncharacterized LOC105374986
284418	1.79e-03	3.50e-06	1.006	-4.638866	-4.6676912	65.83	GARIN5B	golgi associated RAB2 interactor family member 5B
375196	1.98e-03	3.99e-06	0.791	-4.611753	-3.648685	39.85	LOC375196	uncharacterized LOC375196
284293	2.04e-03	4.22e-06	0.706	-4.600144	-3.247054	35.43	HMSD	histocompatibility minor serpin domain containing
2045	2.28e-03	4.82e-06	0.87	4.572392	3.9800452	27.93	EPHA7	EPH receptor A7
100288181	2.30e-03	4.98e-06	0.553	-4.565434	-2.5251502	189.19	LNCOC1	lncRNA associated with ovarian cancer 1
27294	2.40e-03	5.34e-06	0.605	-4.551084	-2.7529019	30.78	DHDH	dihydrodiol dehydrogenase
27127	2.89e-03	6.56e-06	0.621	-4.507547	-2.7972118	69.27	SMC1B	structural maintenance of chromosomes 1B
56675	3.33e-03	7.86e-06	0.549	-4.468986	-2.4526135	157.21	NRIP3	nuclear receptor interacting protein 3
219527	3.33e-03	7.90e-06	0.951	4.467842	4.2500919	90.4	LRRC55	leucine rich repeat containing 55
55906	3.65e-03	8.87e-06	0.383	4.443033	1.6995319	74.05	ZC4H2	zinc finger C4H2-type containing
80150	3.85e-03	9.55e-06	0.919	4.427188	4.0670633	1614.05	ASRGL1	asparaginase and isoaspartyl peptidase 1
220963	4.13e-03	1.07e-05	0.663	4.403499	2.9188054	183.35	SLC16A9	solute carrier family 16 member 9
970	4.13e-03	1.06e-05	0.844	-4.404949	-3.7186793	360.06	CD70	CD70 molecule
7298	4.20e-03	1.11e-05	0.283	-4.395361	-1.244359	811.41	TYMS	thymidylate synthetase
6725	4.50e-03	1.21e-05	0.93	-4.375867	-4.0703378	366.13	SRMS	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites
