ID	log2(fold change)	-log10(Pvalue)
ASHGA5P000001	-0.678	1.791
ASHGA5P000003	2.508	6.113
ASHGA5P000007	0.679	1.784
ASHGA5P000009	0.731	2.888
ASHGA5P000013	-0.737	2.269
ASHGA5P000014	1.943	5.117
ASHGA5P000016	3.101	6.875
ASHGA5P000018	1.363	2.065
ASHGA5P000019	0.697	2.95
ASHGA5P000021	1.513	4.588
ASHGA5P000022	0.636	2.866
ASHGA5P000024	1.409	4.612
ASHGA5P000026	-0.999	2.82
ASHGA5P000027	1.791	4.471
ASHGA5P000029	-0.545	2.539
ASHGA5P000030	0.838	1.636
ASHGA5P000032	0.464	2.223
ASHGA5P000033	1.701	2.533
ASHGA5P000035	0.492	2.098
ASHGA5P000039	-1.143	4.184
ASHGA5P000043	1.004	1.629
ASHGA5P000045	1.612	2.856
ASHGA5P000046	1.238	4.517
ASHGA5P000047	-1.129	3.094
ASHGA5P000048	1.312	2.029
ASHGA5P000049	2.378	4.929
ASHGA5P000050	0.584	2.871
ASHGA5P000051	1.274	3.006
ASHGA5P000054	0.996	3.447
ASHGA5P000055	0.954	1.767
ASHGA5P000058	1.016	3.994
ASHGA5P000059	4.363	7.551
ASHGA5P000060	0.543	1.823
ASHGA5P000063	-1.015	1.54
ASHGA5P000066	6.449	8.17
ASHGA5P000070	0.908	2.306
ASHGA5P000072	-1.583	2.454
ASHGA5P000073	-0.999	3.422
ASHGA5P000075	-1.29	4.075
ASHGA5P000077	2.19	6.092
ASHGA5P000078	1.361	1.974
ASHGA5P000079	2.566	5.436
ASHGA5P000080	2.497	6.045
ASHGA5P000081	0.668	3.209
ASHGA5P000082	-0.551	2.838
ASHGA5P000083	1.198	1.638
ASHGA5P000085	0.621	2.721
ASHGA5P000087	-0.911	3.769
ASHGA5P000088	0.832	3.331
ASHGA5P000090	2.535	3.804
ASHGA5P000093	1.651	4.544
ASHGA5P000094	0.68	2.746
ASHGA5P000096	-1.083	2.823
ASHGA5P000098	-1.762	5.245
ASHGA5P000099	-0.751	2.28
ASHGA5P000100	-1.845	5.264
ASHGA5P000101	-2.518	4.061
ASHGA5P000105	2.155	4.57
ASHGA5P000107	1.333	1.989
ASHGA5P000108	-0.844	2.243
ASHGA5P000109	1.203	3.9
ASHGA5P000112	2.497	5.721
ASHGA5P000113	1.89	3.987
ASHGA5P000114	1.027	2.204
ASHGA5P000115	1.686	4.76
ASHGA5P000118	0.378	1.714
ASHGA5P000124	0.709	2.653
ASHGA5P000127	2.114	2.91
ASHGA5P000129	0.61	1.561
ASHGA5P000130	0.482	2.219
ASHGA5P000133	0.44	1.653
