ID	log2Exp	log2FC
ASHGA5P000003	7.941	2.068
ASHGA5P000005	6.367	1.312
ASHGA5P000006	5.889	-4.824
ASHGA5P000007	4.973	0.713
ASHGA5P000009	9.796	0.819
ASHGA5P000016	9.565	3.069
ASHGA5P000018	5.672	1.591
ASHGA5P000019	5.97	0.858
ASHGA5P000020	6.173	-0.322
ASHGA5P000021	8.101	0.483
ASHGA5P000022	7.706	0.514
ASHGA5P000023	7.639	-1.265
ASHGA5P000024	11.047	1.261
ASHGA5P000027	6.446	1.361
ASHGA5P000028	7.479	0.422
ASHGA5P000029	14.594	-0.494
ASHGA5P000031	7.465	-1.278
ASHGA5P000032	17.306	0.486
ASHGA5P000035	8.533	0.42
ASHGA5P000039	9.111	-1.857
ASHGA5P000040	7.701	-3.597
ASHGA5P000041	3.05	1.013
ASHGA5P000043	2.935	1.121
ASHGA5P000045	6.243	0.921
ASHGA5P000046	8.333	1.494
ASHGA5P000047	5.475	1.245
ASHGA5P000048	3.141	1.174
ASHGA5P000051	10.086	1.078
ASHGA5P000053	10.19	1.379
ASHGA5P000054	10.348	-0.428
ASHGA5P000055	4.834	2.114
ASHGA5P000057	4.693	0.973
ASHGA5P000058	6.983	1.321
ASHGA5P000059	8.936	2.662
ASHGA5P000060	2.741	0.571
ASHGA5P000062	5.503	-0.663
ASHGA5P000063	4.324	-1.343
ASHGA5P000065	8.076	-0.53
ASHGA5P000066	10.111	4.952
ASHGA5P000070	2.84	0.93
ASHGA5P000071	8.753	1.754
ASHGA5P000073	9.211	-0.609
ASHGA5P000075	12.512	-1.179
ASHGA5P000077	8.144	2.013
ASHGA5P000078	3.129	1.291
ASHGA5P000079	7.867	2.738
ASHGA5P000080	9.797	2.637
ASHGA5P000081	9.909	1.057
ASHGA5P000082	9.828	-0.306
ASHGA5P000085	12.023	0.485
ASHGA5P000088	6.668	0.921
ASHGA5P000090	5.652	2.18
ASHGA5P000093	6.596	1.376
ASHGA5P000094	5.887	0.597
ASHGA5P000095	4.137	1.028
ASHGA5P000096	5.523	-0.821
ASHGA5P000097	10.834	-1.139
ASHGA5P000098	9.833	-2.672
ASHGA5P000099	5.106	-0.928
ASHGA5P000100	9.854	-3.782
ASHGA5P000101	3.833	-2.557
ASHGA5P000102	10.302	-0.481
ASHGA5P000105	10.288	2.498
ASHGA5P000106	6.663	0.826
ASHGA5P000107	3.054	1.359
ASHGA5P000108	5.504	-5.891
ASHGA5P000109	6.349	1.386
ASHGA5P000110	3.174	-1.055
ASHGA5P000112	7.235	1.857
ASHGA5P000113	8.061	1.595
ASHGA5P000114	4.964	0.83
ASHGA5P000115	6.492	1.635
ASHGA5P000116	4.428	-1.945
ASHGA5P000118	2.618	0.487
ASHGA5P000120	3.818	1.203
ASHGA5P000124	7.289	0.836
ASHGA5P000126	10.305	-0.728
ASHGA5P000129	2.785	0.784
ASHGA5P000130	8.045	0.693
ASHGA5P000133	2.727	0.704
ASHGA5P000134	6.405	0.479
ASHGA5P000137	6.614	0.639
ASHGA5P000139	3.557	-1.151
ASHGA5P000140	7.016	1.223
ASHGA5P000141	8.057	0.462
ASHGA5P000142	3.147	1.545
ASHGA5P000144	3.173	1.438
ASHGA5P000145	2.695	0.641
ASHGA5P000148	7.059	1.605
ASHGA5P000149	4.321	-2.138
ASHGA5P000151	7.01	0.855
ASHGA5P000152	3.035	1.322
ASHGA5P000153	3.105	-1.102
ASHGA5P000156	2.703	0.656
ASHGA5P000157	6.999	0.569
ASHGA5P000160	8.889	0.752
ASHGA5P000161	7.794	0.465
ASHGA5P000163	7.183	0.541
ASHGA5P000165	2.965	-0.811
ASHGA5P000171	9.871	0.526
ASHGA5P000172	5.014	1.741
ASHGA5P000173	2.705	0.661
ASHGA5P000175	3.583	-0.94
ASHGA5P000176	7.463	1.303
ASHGA5P000177	7.957	0.701
ASHGA5P000180	2.624	0.498
ASHGA5P000183	5.344	2.206
ASHGA5P000184	6.567	0.679
ASHGA5P000186	7.023	0.428
ASHGA5P000187	8.415	0.745
ASHGA5P000190	3.271	1.414
ASHGA5P000192	2.721	0.692
ASHGA5P000194	2.744	0.739
ASHGA5P000195	6.619	0.381
ASHGA5P000196	3.257	-1.072
ASHGA5P000198	3.396	1.057
ASHGA5P000200	7.137	0.679
ASHGA5P000205	8.484	1.007
ASHGA5P000207	6.406	0.589
ASHGA5P000209	2.999	-0.883
ASHGA5P000211	2.774	0.799
ASHGA5P000213	9.411	0.954
ASHGA5P000216	12.534	-0.909
ASHGA5P000217	7.985	0.979
ASHGA5P000218	9.666	1.729
ASHGA5P000220	4.83	0.828
ASHGA5P000222	2.848	0.946
ASHGA5P000225	2.99	-0.855
ASHGA5P000227	8.996	2.78
ASHGA5P000230	7.718	1.298
ASHGA5P000232	10.863	1.275
ASHGA5P000233	4.016	-1.29
ASHGA5P000234	6.995	0.727
ASHGA5P000235	3.162	1.003
ASHGA5P000237	5.416	1.328
ASHGA5P000238	5.756	-0.663
ASHGA5P000239	3.166	-1.153
ASHGA5P000240	5.675	0.934
ASHGA5P000243	6.899	0.648
ASHGA5P000244	4.101	-1.905
ASHGA5P000245	3.292	1.73
